date,open,high,low,close,volume,amount,outstanding_share,turnover
2019-05-10,30.61,31.62,30.29,31.53,6096859.0,471582824.0,718626073.0,0.00848404925603082
2019-05-13,31.44,32.54,31.08,32.14,4336213.0,343110582.0,718626073.0,0.006034032388913893
2019-05-14,31.82,33.07,31.82,32.45,4145697.0,336480408.0,718626073.0,0.005768920939221196
2019-05-15,32.61,33.02,32.24,32.83,3106507.0,251670140.0,718626073.0,0.0043228420408286524
2019-05-16,32.78,32.94,32.36,32.81,2223085.0,180214284.0,718626073.0,0.003093521211552256
2019-05-17,32.75,33.21,32.22,32.4,3239214.0,264382469.0,718626073.0,0.004507509707346786
2019-05-20,32.31,32.62,31.34,31.61,2535318.0,199622774.0,718626073.0,0.00352800725614641
2019-05-21,31.82,32.93,31.63,32.67,3394211.0,274093887.0,718626073.0,0.004723194895824494
2019-05-22,32.77,33.25,32.57,33.01,3734875.0,305721905.0,718626073.0,0.005197243935790234
2019-05-23,32.98,32.98,31.81,31.85,2753945.0,219600269.0,718626073.0,0.003832236407041691
2019-05-24,31.84,32.46,31.82,32.1,1914944.0,152686059.0,718626073.0,0.00266472936614422
2019-05-27,32.11,32.54,31.62,32.38,2632279.0,209708159.0,718626073.0,0.0036629327808984187
2019-05-28,32.22,32.38,31.6,31.82,3025863.0,240671501.0,718626073.0,0.0042106223440629325
2019-05-29,31.76,32.35,31.7,32.11,2613056.0,207797234.0,718626073.0,0.003636183125239877
2019-05-30,31.96,32.21,31.62,31.82,2020832.0,159780653.0,718626073.0,0.0028120772066671175
2019-05-31,31.82,32.25,31.76,31.9,2398601.0,190150071.0,718626073.0,0.0033377594970729653
2019-06-03,31.82,32.09,31.28,31.54,2468273.0,193641732.0,718626073.0,0.003434711170019015
2019-06-04,31.62,31.86,31.21,31.22,2082307.0,162423931.0,718626073.0,0.002897622391165315
2019-06-05,31.53,31.62,30.98,31.09,2393676.0,185093886.0,718626073.0,0.0033309061415031627
2019-06-06,31.01,31.37,30.86,31.08,2033082.0,157249234.0,718626073.0,0.002829123624074241
2019-06-10,31.27,31.8,30.92,31.76,2597216.0,203574870.0,718626073.0,0.003614141063874258
2019-06-11,31.74,32.82,31.59,32.63,3920471.0,314911261.0,718626073.0,0.005455508987634519
